service_start,service_end,origin,destination,distance,total_fare,passengers,mode,record_id
2019-03-23 20:21:09,2019-03-23 20:27:24,Lenox Hill West,UN/Turtle Bay South,1.6,12.95,1,Taxi,1
2019-03-04 16:11:55,2019-03-04 16:19:00,Upper West Side South,Upper West Side South,0.79,9.3,1,Taxi,2
2019-03-27 17:53:01,2019-03-27 18:00:25,Alphabet City,West Village,1.37,14.16,1,Taxi,3
2019-03-10 01:23:59,2019-03-10 01:49:51,Hudson Sq,Yorkville West,7.7,36.95,1,Taxi,4
2019-03-30 13:27:42,2019-03-30 13:37:14,Midtown East,Yorkville West,2.16,13.4,3,Taxi,5
2019-03-11 10:37:23,2019-03-11 10:47:31,Times Sq/Theatre District,Midtown East,0.49,12.96,1,Taxi,6
2019-03-26 21:07:31,2019-03-26 21:17:29,Battery Park City,Two Bridges/Seward Park,3.65,18.8,1,Taxi,7
2019-03-22 12:47:13,2019-03-22 12:58:17,Murray Hill,Flatiron,1.4,11.8,0,Taxi,8
2019-03-23 11:48:50,2019-03-23 12:06:14,East Harlem South,Midtown Center,3.63,19.3,1,Taxi,9
2019-03-08 16:18:37,2019-03-08 16:26:57,Lincoln Square East,Central Park,1.52,13.3,1,Taxi,10
2019-03-16 10:02:25,2019-03-16 10:22:29,LaGuardia Airport,Astoria,3.9,17.8,1,Taxi,11
2019-03-20 19:39:42,2019-03-20 19:45:36,Upper West Side South,Manhattan Valley,1.53,12.96,1,Taxi,12
2019-03-18 21:27:14,2019-03-18 21:34:16,Murray Hill,Midtown Center,1.05,11.3,1,Taxi,13
2019-03-19 07:55:25,2019-03-19 08:09:17,Lincoln Square West,Times Sq/Theatre District,1.75,13.8,1,Taxi,14
2019-03-27 12:13:34,2019-03-27 12:25:48,Financial District North,Two Bridges/Seward Park,2.9,14.8,0,Taxi,15
2019-03-16 17:53:34,2019-03-16 18:13:57,Upper West Side North,Clinton East,2.09,16.8,3,Taxi,16
2019-03-15 12:36:05,2019-03-15 12:54:28,East Chelsea,Meatpacking/West Village West,2.12,16.3,1,Taxi,17
2019-03-23 20:50:49,2019-03-23 21:02:07,Midtown Center,East Harlem South,2.6,16.3,1,Taxi,18
2019-03-27 06:28:36,2019-03-27 06:38:10,Gramercy,Midtown Center,2.18,14.72,1,Taxi,19
2019-03-25 22:04:25,2019-03-25 22:11:30,East Chelsea,East Chelsea,1.08,11.38,6,Taxi,20
2019-03-21 03:37:34,2019-03-21 03:44:13,Penn Station/Madison Sq West,Kips Bay,1.07,11.84,1,Taxi,21
2019-03-25 23:05:54,2019-03-25 23:11:13,Penn Station/Madison Sq West,Murray Hill,0.8,11.6,1,Taxi,22
2019-03-28 17:20:54,2019-03-28 17:55:57,LaGuardia Airport,Sutton Place/Turtle Bay North,9.82,49.87,1,Taxi,23
2019-03-04 12:15:39,2019-03-04 12:26:53,Sutton Place/Turtle Bay North,Midtown North,1.09,14.16,5,Taxi,24
2019-03-24 09:53:28,2019-03-24 10:01:22,Lenox Hill West,Gramercy,2.89,16.64,5,Taxi,25
2019-03-25 08:01:01,2019-03-25 08:13:27,Lincoln Square East,Midtown South,1.9,16.3,1,Taxi,26
2019-03-03 02:45:36,2019-03-03 03:02:14,West Chelsea/Hudson Yards,Seaport,3.35,17.3,1,Taxi,27
2019-03-16 20:30:36,2019-03-16 20:46:22,Clinton East,Lenox Hill West,2.6,19.56,1,Taxi,28
2019-03-20 12:25:31,2019-03-20 12:45:02,Clinton West,East Harlem North,4.71,18.3,1,Taxi,29
2019-03-06 08:09:03,2019-03-06 08:27:11,UN/Turtle Bay South,Garment District,0.92,15.3,1,Taxi,30
2019-03-10 15:14:20,2019-03-10 15:20:17,Lenox Hill West,East Harlem South,1.84,12.36,1,Taxi,31
2019-03-01 02:55:55,2019-03-01 02:57:59,Clinton East,West Chelsea/Hudson Yards,0.74,7.8,3,Taxi,32
2019-03-17 19:24:50,2019-03-17 19:29:58,Midtown Center,Sutton Place/Turtle Bay North,0.62,9.8,1,Taxi,33
2019-03-20 22:29:32,2019-03-20 22:32:24,Midtown South,Midtown Center,0.65,10.79,2,Taxi,34
2019-03-21 10:48:02,2019-03-21 10:57:45,Midtown North,Clinton West,0.87,12.96,2,Taxi,35
2019-03-01 17:39:58,2019-03-01 18:04:46,West Chelsea/Hudson Yards,Lenox Hill East,3.06,25.56,1,Taxi,36
2019-03-22 17:28:51,2019-03-22 17:33:51,Garment District,Flatiron,1.1,9.8,1,Taxi,37
2019-03-21 18:41:58,2019-03-21 19:15:25,Lenox Hill East,Garment District,3.13,24.8,1,Taxi,38
2019-03-18 16:03:14,2019-03-18 16:10:36,Gramercy,Murray Hill,1.13,12.96,2,Taxi,39
2019-03-25 22:50:56,2019-03-25 22:59:51,Garment District,Upper West Side South,2.47,16.56,1,Taxi,40
2019-03-07 15:15:46,2019-03-07 15:50:14,Flatiron,Carroll Gardens,7.51,36.36,1,Taxi,41
2019-03-24 18:42:56,2019-03-24 19:09:00,TriBeCa/Civic Center,Kips Bay,4.5,23.3,0,Taxi,42
2019-03-30 23:59:14,2019-03-30 23:59:17,,,0.0,100.38,1,Taxi,43
2019-03-27 19:39:16,2019-03-27 20:00:26,LaGuardia Airport,Washington Heights South,9.5,35.06,1,Taxi,44
2019-03-14 07:19:29,2019-03-14 07:45:51,East Harlem South,Battery Park City,9.37,33.8,1,Taxi,45
2019-03-07 11:19:21,2019-03-07 11:39:09,Lincoln Square East,Midtown East,0.8,18.95,1,Taxi,46
2019-03-20 11:40:59,2019-03-20 12:06:41,Times Sq/Theatre District,Battery Park City,4.7,23.3,2,Taxi,47
2019-03-13 06:17:45,2019-03-13 06:21:54,Upper East Side North,Lenox Hill West,1.15,11.44,2,Taxi,48
2019-03-07 16:49:01,2019-03-07 16:57:07,Lincoln Square East,Times Sq/Theatre District,1.3,11.3,1,Taxi,49
2019-03-04 21:35:00,2019-03-04 21:53:42,West Village,Upper West Side South,4.87,21.3,1,Taxi,50
2019-03-16 16:36:34,2019-03-16 16:54:50,Clinton East,Penn Station/Madison Sq West,1.0,14.8,2,Taxi,51
2019-03-16 17:38:47,2019-03-16 17:56:04,Midtown North,Union Sq,1.89,15.3,4,Taxi,52
2019-03-21 21:30:05,2019-03-21 21:39:03,Greenwich Village South,Meatpacking/West Village West,0.9,12.95,2,Taxi,53
2019-03-20 18:49:24,2019-03-20 19:12:40,JFK Airport,Sunnyside,13.45,37.8,1,Taxi,54
2019-03-24 01:13:51,2019-03-24 01:24:00,East Village,Sutton Place/Turtle Bay North,2.8,17.15,1,Taxi,55
2019-03-14 12:11:52,2019-03-14 12:40:54,Union Sq,Lincoln Square West,3.43,26.76,1,Taxi,56
2019-03-05 17:57:00,2019-03-05 18:45:25,JFK Airport,Upper East Side North,19.59,65.56,2,Taxi,57
2019-03-17 13:55:43,2019-03-17 14:01:39,UN/Turtle Bay South,Midtown Center,0.71,10.56,4,Taxi,58
2019-03-01 23:21:01,2019-03-01 23:46:28,Garment District,Financial District North,4.5,26.76,1,Taxi,59
2019-03-09 19:24:01,2019-03-09 19:33:32,TriBeCa/Civic Center,Lower East Side,0.82,12.3,3,Taxi,60
2019-03-01 22:49:54,2019-03-01 22:53:32,East Harlem South,East Harlem North,0.9,6.3,1,Taxi,61
2019-03-13 10:55:10,2019-03-13 11:23:25,Times Sq/Theatre District,Lenox Hill East,2.4,20.8,2,Taxi,62
2019-03-21 23:33:55,2019-03-21 23:36:39,Flatiron,East Chelsea,0.44,7.8,1,Taxi,63
2019-03-28 21:59:44,2019-03-28 22:04:04,Penn Station/Madison Sq West,Garment District,1.02,9.3,4,Taxi,64
2019-03-26 10:14:55,2019-03-26 10:26:58,Midtown South,Midtown Center,1.38,15.38,6,Taxi,65
2019-03-02 19:08:25,2019-03-02 19:31:42,Hudson Sq,Times Sq/Theatre District,2.42,22.56,1,Taxi,66
2019-03-15 13:42:03,2019-03-15 13:49:00,Lenox Hill West,Lenox Hill West,0.66,12.09,1,Taxi,67
2019-03-04 13:39:06,2019-03-04 13:58:52,Garment District,Yorkville East,3.3,18.8,1,Taxi,68
2019-03-22 02:22:01,2019-03-22 02:30:21,Clinton East,Midtown North,1.22,11.3,3,Taxi,69
2019-03-31 15:43:37,2019-03-31 15:53:39,Clinton East,Times Sq/Theatre District,0.55,12.3,1,Taxi,70
2019-03-27 19:27:17,2019-03-27 19:48:47,Union Sq,Upper East Side North,3.51,21.8,1,Taxi,71
2019-03-13 07:34:09,2019-03-13 07:38:18,East Chelsea,Garment District,1.07,10.56,1,Taxi,72
2019-03-12 15:44:53,2019-03-12 16:02:05,Yorkville West,Upper West Side North,1.98,17.76,1,Taxi,73
2019-03-29 08:48:46,2019-03-29 08:56:07,Murray Hill,Union Sq,1.0,11.75,1,Taxi,74
2019-03-02 23:05:12,2019-03-02 23:17:34,Clinton East,Lenox Hill West,1.85,13.8,1,Taxi,75
2019-03-17 01:28:28,2019-03-17 02:04:54,Flatiron,Jackson Heights,7.95,33.8,1,Taxi,76
2019-03-09 13:42:08,2019-03-09 13:48:46,Upper East Side North,Midtown East,1.0,9.8,1,Taxi,77
2019-03-05 15:41:23,2019-03-05 15:46:30,Midtown Center,Midtown Center,0.6,9.95,1,Taxi,78
2019-03-18 19:57:00,2019-03-18 20:06:22,Central Park,Midtown North,1.57,14.6,2,Taxi,79
2019-03-17 22:47:36,2019-03-17 22:55:32,West Chelsea/Hudson Yards,Meatpacking/West Village West,1.3,13.55,1,Taxi,80
2019-03-15 23:46:05,2019-03-15 23:59:52,Midtown East,Penn Station/Madison Sq West,1.47,13.3,1,Taxi,81
2019-03-16 18:57:19,2019-03-16 19:00:16,Upper East Side North,Upper East Side North,0.4,7.3,2,Taxi,82
2019-03-14 11:55:26,2019-03-14 12:08:32,East Harlem South,Upper East Side South,1.84,15.96,6,Taxi,83
2019-03-16 21:03:35,2019-03-16 21:21:58,Meatpacking/West Village West,Chinatown,2.5,17.8,1,Taxi,84
2019-03-09 19:54:40,2019-03-09 20:07:27,Gramercy,Penn Station/Madison Sq West,1.5,12.8,2,Taxi,85
2019-03-03 16:44:20,2019-03-03 16:48:36,Kips Bay,Stuy Town/Peter Cooper Village,1.02,10.38,1,Taxi,86
2019-03-04 20:20:15,2019-03-04 20:24:14,Morningside Heights,Morningside Heights,0.6,6.3,1,Taxi,87
2019-03-28 22:57:05,2019-03-28 23:16:56,Hudson Sq,Lincoln Square East,4.1,19.8,1,Taxi,88
2019-03-16 05:08:02,2019-03-16 05:08:20,Astoria,Astoria,0.07,3.8,1,Taxi,89
2019-03-27 22:22:30,2019-03-27 22:41:40,Greenwich Village South,Yorkville West,5.99,29.75,1,Taxi,90
2019-03-07 10:39:25,2019-03-07 11:05:01,Midtown Center,Little Italy/NoLiTa,2.55,19.8,5,Taxi,91
2019-03-11 08:46:09,2019-03-11 08:47:21,Upper East Side North,Upper East Side North,0.3,7.25,1,Taxi,92
2019-03-28 07:05:19,2019-03-28 07:41:14,East Tremont,Midtown East,10.6,40.06,0,Taxi,93
2019-03-12 12:02:26,2019-03-12 12:17:00,Sutton Place/Turtle Bay North,Midtown Center,0.66,14.0,3,Taxi,94
2019-03-06 20:00:28,2019-03-06 20:11:50,Upper East Side South,Upper West Side North,2.6,19.2,3,Taxi,95
2019-03-28 21:30:43,2019-03-28 21:42:10,Penn Station/Madison Sq West,Stuy Town/Peter Cooper Village,1.6,15.35,1,Taxi,96
2019-03-13 16:11:26,2019-03-13 16:28:42,Financial District South,Downtown Brooklyn/MetroTech,3.21,17.8,1,Taxi,97
2019-03-04 22:34:00,2019-03-04 22:41:34,Midtown Center,Upper East Side South,1.3,11.8,1,Taxi,98
2019-03-08 19:10:16,2019-03-08 19:18:32,Midtown North,Times Sq/Theatre District,0.9,11.3,2,Taxi,99
2019-03-02 10:47:45,2019-03-02 10:56:08,West Village,Flatiron,0.95,12.96,3,Taxi,100
2019-03-28 11:28:29,2019-03-28 11:49:30,Lincoln Square East,Midtown South,1.79,20.16,1,Taxi,101
2019-03-29 14:24:32,2019-03-29 14:31:52,Midtown Center,Lenox Hill West,1.15,12.36,1,Taxi,102
2019-03-01 07:34:30,2019-03-01 07:40:58,Bloomingdale,Upper West Side North,1.2,9.8,1,Taxi,103
2019-03-31 11:50:36,2019-03-31 11:54:00,Union Sq,Union Sq,0.43,7.3,4,Taxi,104
2019-03-28 13:29:48,2019-03-28 13:56:36,Queensboro Hill,Midtown South,9.5,39.06,3,Taxi,105
2019-03-12 17:05:47,2019-03-12 17:12:12,Central Park,Upper West Side North,1.1,12.95,1,Taxi,106
2019-03-08 18:43:42,2019-03-08 18:57:17,Gramercy,Midtown Center,2.06,17.16,1,Taxi,107
2019-03-04 17:49:31,2019-03-04 17:55:25,Union Sq,Midtown South,0.78,11.27,1,Taxi,108
2019-03-22 13:23:05,2019-03-22 13:43:15,Midtown South,Clinton West,2.42,18.8,4,Taxi,109
2019-03-09 23:57:28,2019-03-10 00:16:04,SoHo,DUMBO/Vinegar Hill,2.73,17.8,1,Taxi,110
2019-03-20 10:12:24,2019-03-20 10:31:36,Yorkville West,Greenwich Village South,5.7,27.95,1,Taxi,111
2019-03-15 10:56:56,2019-03-15 11:37:02,Times Sq/Theatre District,LaGuardia Airport,11.93,58.27,1,Taxi,112
2019-03-22 23:19:12,2019-03-22 23:31:20,Midtown Center,Upper West Side South,1.7,16.55,1,Taxi,113
2019-03-30 12:28:42,2019-03-30 12:49:34,Penn Station/Madison Sq West,Upper West Side South,2.9,18.3,1,Taxi,114
2019-03-05 12:17:49,2019-03-05 12:36:12,Brooklyn Heights,Murray Hill,5.98,27.88,1,Taxi,115
2019-03-01 16:10:56,2019-03-01 16:15:58,Midtown Center,Sutton Place/Turtle Bay North,0.65,11.16,1,Taxi,116
2019-03-25 15:43:32,2019-03-25 15:58:23,Times Sq/Theatre District,Flatiron,1.76,13.8,1,Taxi,117
2019-03-23 09:39:25,2019-03-23 09:56:45,Yorkville East,Penn Station/Madison Sq West,3.6,22.55,0,Taxi,118
2019-03-11 10:00:32,2019-03-11 10:04:24,Upper East Side South,Upper East Side North,0.58,8.58,2,Taxi,119
2019-03-14 23:29:02,2019-03-14 23:37:17,Alphabet City,East Village,1.22,10.8,1,Taxi,120
2019-03-21 17:21:44,2019-03-21 17:21:49,JFK Airport,JFK Airport,0.0,4.3,1,Taxi,121
2019-03-13 20:00:10,2019-03-13 20:14:34,East Chelsea,East Village,2.1,18.35,1,Taxi,122
2019-03-10 20:36:47,2019-03-10 20:47:33,Manhattan Valley,East Harlem South,2.0,12.42,2,Taxi,123
2019-03-20 21:17:25,2019-03-20 21:22:39,Clinton East,Midtown Center,0.83,9.3,1,Taxi,124
2019-03-04 13:06:09,2019-03-04 13:16:31,Midtown Center,Upper East Side North,1.79,13.8,1,Taxi,125
2019-03-31 17:17:53,2019-03-31 17:29:00,East Harlem South,Manhattan Valley,2.07,13.5,1,Taxi,126
2019-03-13 08:46:04,2019-03-13 08:58:57,Lincoln Square West,Upper West Side North,1.53,15.96,1,Taxi,127
2019-03-21 18:44:03,2019-03-21 19:30:50,East Chelsea,Marble Hill,10.21,38.41,1,Taxi,128
2019-03-06 19:29:56,2019-03-06 20:08:36,LaGuardia Airport,Clinton East,10.8,57.56,1,Taxi,129
2019-03-17 22:46:35,2019-03-17 23:04:07,Times Sq/Theatre District,East Village,3.43,21.96,1,Taxi,130
2019-03-10 00:20:33,2019-03-10 00:27:13,East Village,East Village,0.57,9.8,3,Taxi,131
2019-03-28 18:06:43,2019-03-28 18:11:26,Lincoln Square West,Lincoln Square East,0.9,9.8,1,Taxi,132
2019-03-12 13:01:22,2019-03-12 13:04:25,Kips Bay,Murray Hill,0.6,7.3,1,Taxi,133
2019-03-28 21:09:58,2019-03-28 21:15:31,East Chelsea,Clinton East,1.06,12.74,1,Taxi,134
2019-03-11 10:37:05,2019-03-11 10:50:41,Union Sq,Midtown Center,1.56,14.3,5,Taxi,135
2019-03-06 18:59:05,2019-03-06 19:11:27,Gramercy,Union Sq,0.9,15.3,1,Taxi,136
2019-03-11 11:56:04,2019-03-11 12:06:03,Lincoln Square West,Upper West Side North,1.7,12.3,1,Taxi,137
2019-03-09 19:07:27,2019-03-09 19:10:45,Yorkville East,Yorkville West,0.55,9.36,1,Taxi,138
2019-03-07 19:26:16,2019-03-07 19:44:20,Clinton West,Greenwich Village North,3.0,21.95,4,Taxi,139
2019-03-19 15:08:45,2019-03-19 15:34:24,Yorkville West,Greenwich Village South,6.4,31.56,6,Taxi,140
2019-03-29 08:55:37,2019-03-29 09:13:36,Yorkville East,Kips Bay,4.14,23.16,2,Taxi,141
2019-03-31 08:55:25,2019-03-31 09:00:23,Clinton East,Central Park,1.1,9.3,1,Taxi,142
2019-03-30 20:45:00,2019-03-30 21:06:11,Sutton Place/Turtle Bay North,Lower East Side,2.61,20.47,1,Taxi,143
2019-03-03 12:37:17,2019-03-03 12:43:53,Union Sq,East Village,1.18,9.8,1,Taxi,144
2019-03-23 18:35:01,2019-03-23 18:47:39,UN/Turtle Bay South,East Village,3.2,17.8,1,Taxi,145
2019-03-26 23:30:48,2019-03-26 23:40:09,East Chelsea,Lincoln Square West,2.8,17.15,1,Taxi,146
2019-03-11 11:36:07,2019-03-11 11:57:43,Financial District North,Stuy Town/Peter Cooper Village,5.09,27.88,2,Taxi,147
2019-03-25 15:51:14,2019-03-25 16:01:50,Flatiron,Greenwich Village North,1.16,13.56,1,Taxi,148
2019-03-27 23:10:02,2019-03-27 23:22:11,East Chelsea,Seaport,2.77,18.5,3,Taxi,149
2019-03-28 07:54:06,2019-03-28 08:01:42,Manhattan Valley,East Harlem South,1.72,8.3,1,Taxi,150
2019-03-19 06:22:29,2019-03-19 06:37:12,Lenox Hill East,Manhattan Valley,3.5,16.8,1,Taxi,151
2019-03-29 10:25:21,2019-03-29 11:14:27,Times Sq/Theatre District,Williamsburg (North Side),6.71,44.76,3,Taxi,152
2019-03-28 05:39:40,2019-03-28 05:47:07,Lenox Hill West,Garment District,2.2,14.75,1,Taxi,153
2019-03-13 18:32:01,2019-03-13 18:45:07,Clinton East,Gramercy,2.0,14.3,1,Taxi,154
2019-03-05 17:58:42,2019-03-05 18:19:23,Murray Hill,Upper East Side North,2.7,18.8,2,Taxi,155
2019-03-21 22:49:32,2019-03-21 22:55:11,DUMBO/Vinegar Hill,Brooklyn Heights,1.03,8.76,1,Taxi,156
2019-03-07 19:57:32,2019-03-07 20:10:59,Lenox Hill West,Yorkville East,0.9,15.8,1,Taxi,157
2019-03-02 12:25:56,2019-03-02 12:45:44,LaGuardia Airport,Midtown East,10.18,38.62,5,Taxi,158
2019-03-05 15:39:52,2019-03-05 15:44:51,Clinton East,Midtown North,0.92,8.8,3,Taxi,159
2019-03-13 16:40:50,2019-03-13 16:51:55,Central Park,Upper East Side North,2.0,14.8,1,Taxi,160
2019-03-14 11:36:47,2019-03-14 11:46:26,Central Park,Upper West Side North,1.43,14.16,1,Taxi,161
2019-03-22 07:46:43,2019-03-22 07:49:36,Times Sq/Theatre District,Garment District,0.74,9.75,3,Taxi,162
2019-03-06 17:36:48,2019-03-06 18:43:39,Midtown South,JFK Airport,17.1,78.66,2,Taxi,163
2019-03-08 04:17:26,2019-03-08 04:21:46,Garment District,Garment District,1.2,10.3,1,Taxi,164
2019-03-31 15:21:11,2019-03-31 15:37:28,East Village,West Village,1.8,15.3,2,Taxi,165
2019-03-21 21:31:56,2019-03-21 21:49:14,Meatpacking/West Village West,East Village,2.13,15.8,1,Taxi,166
2019-03-06 12:43:50,2019-03-06 12:59:59,Gramercy,Flatiron,1.4,17.15,1,Taxi,167
2019-03-18 14:30:31,2019-03-18 14:36:40,Upper East Side North,Yorkville West,0.6,8.8,1,Taxi,168
2019-03-28 22:33:16,2019-03-28 22:45:37,Midtown Center,Murray Hill,1.56,13.3,2,Taxi,169
2019-03-13 12:33:55,2019-03-13 12:40:20,Lincoln Square East,Clinton East,0.95,11.62,6,Taxi,170
2019-03-14 04:46:52,2019-03-14 04:49:50,Times Sq/Theatre District,Midtown Center,0.56,9.36,2,Taxi,171
2019-03-13 19:21:03,2019-03-13 19:28:35,Little Italy/NoLiTa,Greenwich Village North,1.0,10.8,1,Taxi,172
2019-03-01 11:25:31,2019-03-01 11:34:24,Upper West Side South,Upper East Side North,1.24,11.3,1,Taxi,173
2019-03-05 22:07:42,2019-03-05 22:18:17,Midtown East,East Village,2.16,16.62,6,Taxi,174
2019-03-04 20:56:26,2019-03-04 21:13:36,Mott Haven/Port Morris,Riverdale/North Riverdale/Fieldston,9.97,29.8,1,Taxi,175
2019-03-04 20:40:56,2019-03-04 20:44:27,Clinton East,Clinton East,1.1,11.16,1,Taxi,176
2019-03-05 17:58:10,2019-03-05 18:00:25,East Village,Gramercy,0.44,8.91,1,Taxi,177
2019-03-29 19:21:12,2019-03-29 19:35:34,Financial District North,Murray Hill,5.19,25.8,1,Taxi,178
2019-03-16 17:27:17,2019-03-16 17:41:03,Manhattan Valley,Washington Heights South,3.5,15.3,0,Taxi,179
2019-03-01 10:25:50,2019-03-01 10:32:29,Upper West Side South,Lincoln Square West,0.84,9.3,1,Taxi,180
2019-03-08 00:51:39,2019-03-08 00:56:54,East Village,Lower East Side,0.93,11.16,5,Taxi,181
2019-03-15 09:20:34,2019-03-15 09:27:03,Midtown East,Murray Hill,0.71,9.3,2,Taxi,182
2019-03-07 00:09:28,2019-03-07 00:38:46,Midtown South,Steinway,6.08,27.8,1,Taxi,183
2019-03-11 20:45:26,2019-03-11 20:50:27,East Village,Gramercy,1.09,11.76,1,Taxi,184
2019-03-26 12:52:27,2019-03-26 13:07:01,Sutton Place/Turtle Bay North,Midtown South,1.9,13.8,1,Taxi,185
2019-03-13 08:34:03,2019-03-13 08:51:10,Penn Station/Madison Sq West,Lincoln Square West,1.8,14.8,1,Taxi,186
2019-03-14 19:38:22,2019-03-14 19:43:09,Midtown East,Yorkville West,1.5,13.5,1,Taxi,187
2019-03-17 00:48:21,2019-03-17 00:59:36,Little Italy/NoLiTa,Stuy Town/Peter Cooper Village,2.17,13.8,2,Taxi,188
2019-03-26 15:06:47,2019-03-26 15:59:52,JFK Airport,Midtown Center,18.41,61.08,1,Taxi,189
2019-03-17 00:50:05,2019-03-17 01:01:47,East Village,East Chelsea,2.0,16.55,4,Taxi,190
2019-03-30 09:39:06,2019-03-30 09:45:23,Hudson Sq,Greenwich Village North,1.2,11.75,1,Taxi,191
2019-03-31 14:28:46,2019-03-31 14:34:24,Sutton Place/Turtle Bay North,Lenox Hill East,1.46,11.76,1,Taxi,192
2019-03-19 09:28:34,2019-03-19 10:01:34,JFK Airport,Astoria,14.1,46.3,1,Taxi,193
2019-03-18 21:28:55,2019-03-18 21:52:22,JFK Airport,Sheepshead Bay,14.3,41.3,1,Taxi,194
2019-03-10 06:32:41,2019-03-10 06:36:23,Garment District,Murray Hill,0.66,7.8,1,Taxi,195
2019-03-20 18:51:16,2019-03-20 19:03:10,Lenox Hill East,East Harlem South,3.13,18.96,1,Taxi,196
2019-03-12 14:39:59,2019-03-12 15:06:34,Times Sq/Theatre District,Williamsburg (North Side),6.5,32.56,1,Taxi,197
2019-03-19 14:05:07,2019-03-19 14:11:25,Penn Station/Madison Sq West,Clinton West,1.3,12.25,1,Taxi,198
2019-03-19 16:13:05,2019-03-19 16:14:39,Greenwich Village North,Greenwich Village North,0.2,7.3,1,Taxi,199
2019-03-16 13:18:43,2019-03-16 13:33:44,West Chelsea/Hudson Yards,Times Sq/Theatre District,1.8,14.3,1,Taxi,200
