service_start,service_end,origin,destination,distance,total_fare,passengers,mode,record_id
2019-03-14 07:59:57,2019-03-14 08:09:42,Upper East Side South,Upper East Side North,1.4,14.15,1,Taxi,201
2019-03-31 14:28:05,2019-03-31 14:41:07,Sutton Place/Turtle Bay North,Times Sq/Theatre District,1.1,12.3,1,Taxi,202
2019-03-15 21:25:04,2019-03-15 21:31:55,Upper East Side South,Midtown Center,0.88,9.8,1,Taxi,203
2019-03-02 22:42:20,2019-03-02 22:56:52,Times Sq/Theatre District,Upper West Side South,2.3,19.1,1,Taxi,204
2019-03-25 18:47:22,2019-03-25 18:57:06,Clinton West,Clinton East,1.21,11.8,3,Taxi,205
2019-03-15 14:19:05,2019-03-15 14:20:39,Lenox Hill West,Yorkville West,0.47,6.8,5,Taxi,206
2019-03-06 09:48:13,2019-03-06 09:58:40,Little Italy/NoLiTa,Flatiron,1.6,14.15,1,Taxi,207
2019-03-08 18:04:40,2019-03-08 18:11:10,Manhattan Valley,Lincoln Square East,1.5,15.3,1,Taxi,208
2019-03-07 17:15:41,2019-03-07 17:18:41,Upper West Side South,Upper West Side North,0.4,8.8,1,Taxi,209
2019-03-30 23:38:33,2019-03-30 23:48:10,SoHo,Lower East Side,1.1,12.3,1,Taxi,210
2019-03-13 07:15:24,2019-03-13 07:25:50,Gramercy,Midtown Center,2.27,12.8,1,Taxi,211
2019-03-30 23:53:24,2019-03-30 23:56:29,Greenwich Village South,Greenwich Village North,0.6,8.3,1,Taxi,212
2019-03-25 21:36:30,2019-03-25 21:44:52,Midtown Center,Penn Station/Madison Sq West,0.9,12.96,1,Taxi,213
2019-03-30 11:31:52,2019-03-30 11:35:10,Greenwich Village South,East Village,0.3,10.3,1,Taxi,214
2019-03-22 22:40:19,2019-03-22 22:55:26,Stuyvesant Heights,Crown Heights North,2.75,13.8,1,Taxi,215
2019-03-10 10:32:26,2019-03-10 10:35:20,Morningside Heights,Manhattan Valley,0.6,6.36,1,Taxi,216
2019-03-05 22:00:00,2019-03-05 22:17:27,Sutton Place/Turtle Bay North,TriBeCa/Civic Center,3.6,21.95,2,Taxi,217
2019-03-15 22:59:38,2019-03-15 23:04:56,Upper West Side South,Upper West Side North,1.16,9.8,6,Taxi,218
2019-03-20 11:15:24,2019-03-20 11:59:38,Lenox Hill East,Midwood,15.01,53.06,1,Taxi,219
2019-03-08 18:08:03,2019-03-08 18:15:42,Kips Bay,Alphabet City,1.4,13.55,1,Taxi,220
2019-03-20 22:27:45,2019-03-20 22:49:14,Lower East Side,Times Sq/Theatre District,3.69,19.8,2,Taxi,221
2019-03-14 12:43:06,2019-03-14 13:06:58,LaGuardia Airport,Lenox Hill East,8.81,43.87,1,Taxi,222
2019-03-22 21:39:15,2019-03-22 21:45:25,Upper East Side South,Sutton Place/Turtle Bay North,0.84,11.8,1,Taxi,223
2019-03-13 21:57:25,2019-03-13 22:15:34,LaGuardia Airport,Lenox Hill East,9.61,42.62,1,Taxi,224
2019-03-19 23:41:10,2019-03-19 23:43:55,Upper East Side South,Lenox Hill East,0.4,7.8,1,Taxi,225
2019-03-22 15:36:34,2019-03-22 16:34:48,Manhattan Valley,Boerum Hill,12.07,69.07,2,Taxi,226
2019-03-01 20:28:26,2019-03-01 20:36:21,Garment District,Midtown East,1.31,11.3,1,Taxi,227
2019-03-14 14:28:42,2019-03-14 14:56:54,Midtown Center,Lenox Hill East,3.79,29.31,1,Taxi,228
2019-03-03 21:02:46,2019-03-03 21:22:46,LaGuardia Airport,Upper East Side South,9.9,45.07,1,Taxi,229
2019-03-19 23:32:01,2019-03-19 23:40:05,Times Sq/Theatre District,Union Sq,1.86,14.16,1,Taxi,230
2019-03-17 02:22:11,2019-03-17 02:31:02,East Village,East Village,0.66,12.74,2,Taxi,231
2019-03-04 15:30:13,2019-03-04 15:41:03,Midtown Center,Midtown Center,0.62,12.96,1,Taxi,232
2019-03-14 11:45:08,2019-03-14 11:48:55,Yorkville West,Yorkville West,0.7,7.8,1,Taxi,233
2019-03-07 23:46:25,2019-03-07 23:51:55,Penn Station/Madison Sq West,Midtown Center,1.09,11.76,1,Taxi,234
2019-03-06 21:56:51,2019-03-06 22:03:35,Gramercy,West Village,1.1,11.84,1,Taxi,235
2019-03-20 23:19:55,2019-03-20 23:46:00,Union Sq,Financial District South,4.82,27.96,1,Taxi,236
2019-03-15 19:33:40,2019-03-15 19:54:59,Upper East Side South,Gramercy,3.3,22.76,1,Taxi,237
2019-03-26 12:11:08,2019-03-26 12:23:55,Clinton East,Garment District,1.0,11.8,1,Taxi,238
2019-03-09 01:49:19,2019-03-09 01:54:17,SoHo,Flatiron,1.5,12.85,1,Taxi,239
2019-03-14 08:51:47,2019-03-14 09:00:44,Midtown South,Midtown North,1.0,12.95,2,Taxi,240
2019-03-20 20:17:19,2019-03-20 20:46:58,LaGuardia Airport,Times Sq/Theatre District,10.1,47.06,1,Taxi,241
2019-03-29 13:30:12,2019-03-29 13:36:35,Manhattan Valley,Upper West Side North,1.23,12.25,1,Taxi,242
2019-03-10 12:44:26,2019-03-10 12:48:27,Lenox Hill West,Yorkville East,1.1,9.24,4,Taxi,243
2019-03-01 12:14:41,2019-03-01 12:18:39,East Harlem North,East Harlem North,0.5,6.35,2,Taxi,244
2019-03-22 10:35:22,2019-03-22 10:41:18,Lincoln Square East,Midtown North,0.75,10.3,1,Taxi,245
2019-03-31 18:09:31,2019-03-31 18:25:30,Midtown Center,East Village,2.62,18.36,1,Taxi,246
2019-03-14 19:36:16,2019-03-14 19:52:41,UN/Turtle Bay South,Penn Station/Madison Sq West,1.65,19.75,1,Taxi,247
2019-03-07 18:49:41,2019-03-07 19:07:05,Yorkville West,Lincoln Square East,2.75,20.76,1,Taxi,248
2019-03-02 23:13:33,2019-03-02 23:28:52,Little Italy/NoLiTa,Midtown South,2.32,15.8,1,Taxi,249
2019-03-10 01:44:58,2019-03-10 01:51:17,West Village,Midtown South,1.44,13.39,6,Taxi,250
2019-03-21 10:07:48,2019-03-21 10:52:02,East Chelsea,JFK Airport,16.74,76.32,2,Taxi,251
2019-03-07 13:07:41,2019-03-07 13:22:19,Midtown Center,Union Sq,1.7,16.55,6,Taxi,252
2019-03-09 02:17:59,2019-03-09 02:28:16,Lower East Side,Union Sq,1.46,13.3,1,Taxi,253
2019-03-03 13:38:18,2019-03-03 13:49:14,Upper West Side South,Lenox Hill West,1.78,15.36,5,Taxi,254
2019-03-16 12:17:09,2019-03-16 12:34:47,Bloomingdale,Lincoln Square East,2.7,16.8,1,Taxi,255
2019-03-12 07:31:29,2019-03-12 07:34:04,Upper West Side South,Upper West Side South,0.5,9.45,1,Taxi,256
2019-03-22 01:12:31,2019-03-22 01:26:25,Lower East Side,Flatiron,2.77,16.8,2,Taxi,257
2019-03-11 18:18:44,2019-03-11 18:26:55,Lenox Hill West,Midtown Center,1.13,13.0,1,Taxi,258
2019-03-03 20:28:29,2019-03-03 20:33:11,Times Sq/Theatre District,Midtown North,0.9,9.3,2,Taxi,259
2019-03-20 03:41:49,2019-03-20 03:58:06,Chinatown,Yorkville West,5.53,23.8,6,Taxi,260
2019-03-05 22:16:23,2019-03-05 22:24:14,Penn Station/Madison Sq West,Murray Hill,1.06,11.88,1,Taxi,261
2019-03-21 16:19:53,2019-03-21 16:24:46,Garment District,Union Sq,0.8,9.8,1,Taxi,262
2019-03-03 14:34:00,2019-03-03 14:42:34,Union Sq,West Chelsea/Hudson Yards,1.35,11.8,2,Taxi,263
2019-03-07 02:07:02,2019-03-07 02:13:15,Greenwich Village South,East Village,0.85,11.76,1,Taxi,264
2019-03-28 10:50:01,2019-03-28 10:55:52,Lenox Hill East,East Harlem South,1.47,12.25,1,Taxi,265
2019-03-03 20:32:34,2019-03-03 20:39:11,East Village,Little Italy/NoLiTa,0.77,11.0,1,Taxi,266
2019-03-26 21:42:29,2019-03-26 22:05:23,Fort Greene,Cypress Hills,4.4,22.56,2,Taxi,267
2019-03-27 00:09:57,2019-03-27 00:37:20,Garment District,Park Slope,9.39,33.3,1,Taxi,268
2019-03-03 11:16:14,2019-03-03 11:20:53,Clinton West,Lincoln Square West,1.3,9.3,1,Taxi,269
2019-03-03 21:34:24,2019-03-03 22:08:25,Greenwich Village North,Central Harlem,7.8,38.15,2,Taxi,270
2019-03-09 02:35:34,2019-03-09 03:10:06,Gramercy,Washington Heights South,10.82,47.76,1,Taxi,271
2019-03-18 19:41:36,2019-03-18 19:51:29,Midtown North,Lincoln Square West,1.33,15.36,1,Taxi,272
2019-03-27 14:41:53,2019-03-27 15:20:49,Central Park,Greenwich Village North,3.03,31.56,4,Taxi,273
2019-03-15 09:56:40,2019-03-15 10:31:18,JFK Airport,North Corona,13.4,39.3,1,Taxi,274
2019-03-26 23:54:47,2019-03-27 00:03:12,TriBeCa/Civic Center,Flatiron,2.24,16.0,1,Taxi,275
2019-03-09 10:51:40,2019-03-09 10:55:43,Lincoln Square West,Lincoln Square East,0.74,9.96,1,Taxi,276
2019-03-27 23:16:20,2019-03-27 23:34:32,East Village,Greenpoint,4.91,25.56,1,Taxi,277
2019-03-14 19:56:56,2019-03-14 20:07:03,Midtown Center,Upper East Side South,1.24,15.99,1,Taxi,278
2019-03-25 16:23:11,2019-03-25 17:12:18,LaGuardia Airport,Boerum Hill,11.8,52.85,0,Taxi,279
2019-03-14 17:52:20,2019-03-14 18:08:32,Midtown Center,Kips Bay,2.1,19.55,1,Taxi,280
2019-03-26 22:40:00,2019-03-26 22:56:19,Midtown East,Greenpoint,4.1,22.55,1,Taxi,281
2019-03-25 12:44:45,2019-03-25 12:57:31,Murray Hill,Greenwich Village North,1.7,15.95,1,Taxi,282
2019-03-04 20:45:32,2019-03-04 20:52:24,Murray Hill,Penn Station/Madison Sq West,0.9,11.3,2,Taxi,283
2019-03-22 11:55:00,2019-03-22 12:36:56,Midtown Center,JFK Airport,16.6,67.06,2,Taxi,284
2019-03-14 13:51:46,2019-03-14 13:59:11,Garment District,Midtown North,1.1,13.35,1,Taxi,285
2019-03-05 07:01:12,2019-03-05 07:10:34,Financial District North,TriBeCa/Civic Center,1.5,11.8,1,Taxi,286
2019-03-30 21:43:33,2019-03-30 21:56:42,West Chelsea/Hudson Yards,Garment District,1.5,13.3,1,Taxi,287
2019-03-04 22:21:05,2019-03-04 22:30:40,Midtown Center,Yorkville West,2.41,16.62,2,Taxi,288
2019-03-28 19:44:08,2019-03-28 19:55:11,Union Sq,Lower East Side,1.5,13.8,1,Taxi,289
2019-03-27 08:38:24,2019-03-27 08:43:49,Upper East Side South,Upper East Side North,0.9,8.8,1,Taxi,290
2019-03-06 15:09:42,2019-03-06 15:19:00,Lincoln Square East,Clinton West,0.77,12.36,1,Taxi,291
2019-03-02 12:19:18,2019-03-02 12:25:02,Union Sq,Greenwich Village South,1.21,11.76,1,Taxi,292
2019-03-10 17:32:43,2019-03-10 17:51:17,Midtown North,Long Island City/Hunters Point,2.9,21.95,1,Taxi,293
2019-03-15 23:31:29,2019-03-15 23:48:39,Greenwich Village South,Murray Hill,2.3,19.3,1,Taxi,294
2019-03-15 10:19:19,2019-03-15 10:25:22,Upper West Side North,Morningside Heights,1.24,8.18,1,Taxi,295
2019-03-04 15:55:01,2019-03-04 16:14:40,Battery Park City,Penn Station/Madison Sq West,3.81,19.3,1,Taxi,296
2019-03-21 09:48:17,2019-03-21 10:05:14,Murray Hill,Sutton Place/Turtle Bay North,0.9,17.15,1,Taxi,297
2019-03-05 14:57:54,2019-03-05 15:08:35,Lenox Hill West,Upper East Side South,1.07,13.56,2,Taxi,298
2019-03-18 15:10:01,2019-03-18 15:30:21,Upper East Side North,LaGuardia Airport,8.55,42.07,2,Taxi,299
2019-03-15 15:11:55,2019-03-15 15:25:37,Flatiron,Lincoln Square East,2.27,17.16,1,Taxi,300
2019-03-15 02:02:17,2019-03-15 02:16:41,Steinway,Hillcrest/Pomonok,8.02,24.3,2,Taxi,301
2019-03-05 14:55:55,2019-03-05 15:02:29,Lincoln Square East,Upper West Side South,1.0,9.8,2,Taxi,302
2019-03-20 17:22:33,2019-03-20 18:07:19,JFK Airport,Midtown East,17.01,65.56,1,Taxi,303
2019-03-06 01:29:16,2019-03-06 01:47:35,Garment District,East Harlem South,5.6,22.8,1,Taxi,304
2019-03-25 22:43:54,2019-03-25 22:51:42,Upper East Side South,UN/Turtle Bay South,1.4,11.3,1,Taxi,305
2019-03-13 11:29:40,2019-03-13 11:39:38,SoHo,Meatpacking/West Village West,1.4,11.3,2,Taxi,306
2019-03-02 01:05:09,2019-03-02 01:25:21,East Village,Bloomingdale,6.25,27.8,1,Taxi,307
2019-03-27 16:25:43,2019-03-27 16:35:23,Upper East Side South,Upper East Side South,0.68,11.8,1,Taxi,308
2019-03-18 12:54:42,2019-03-18 13:32:35,Central Harlem,JFK Airport,18.76,70.27,5,Taxi,309
2019-03-08 00:42:58,2019-03-08 00:53:48,East Village,Yorkville West,3.67,18.96,2,Taxi,310
2019-03-16 14:02:05,2019-03-16 14:10:07,Upper East Side South,Lenox Hill West,1.2,12.96,3,Taxi,311
2019-03-22 19:16:34,2019-03-22 19:21:02,Lincoln Square East,Midtown North,0.95,12.25,2,Taxi,312
2019-03-20 08:47:11,2019-03-20 09:07:33,Lincoln Square West,Times Sq/Theatre District,1.3,19.56,1,Taxi,313
2019-03-20 14:15:30,2019-03-20 14:26:48,JFK Airport,Baisley Park,4.0,14.8,1,Taxi,314
2019-03-24 06:21:12,2019-03-24 06:46:32,JFK Airport,Brooklyn Heights,18.99,61.56,1,Taxi,315
2019-03-12 23:55:59,2019-03-13 00:06:04,Hudson Sq,Lower East Side,1.2,13.3,1,Taxi,316
2019-03-07 19:05:47,2019-03-07 19:17:30,Midtown East,East Village,2.04,17.16,6,Taxi,317
2019-03-12 17:55:27,2019-03-12 18:04:31,TriBeCa/Civic Center,Financial District South,1.4,16.0,1,Taxi,318
2019-03-16 13:17:21,2019-03-16 13:25:58,Midtown East,Midtown East,0.66,10.3,1,Taxi,319
2019-03-01 21:38:07,2019-03-01 21:44:45,Lower East Side,Little Italy/NoLiTa,0.7,11.75,2,Taxi,320
2019-03-28 23:05:10,2019-03-28 23:14:57,Little Italy/NoLiTa,Gramercy,1.5,11.8,1,Taxi,321
2019-03-23 14:00:52,2019-03-23 14:08:51,Midtown South,Greenwich Village North,1.1,12.05,2,Taxi,322
2019-03-07 09:18:22,2019-03-07 09:26:40,Midtown North,Lincoln Square East,0.81,12.36,1,Taxi,323
2019-03-19 09:38:21,2019-03-19 09:58:34,Kips Bay,East Chelsea,3.27,19.22,5,Taxi,324
2019-03-13 22:40:21,2019-03-13 22:53:10,Union Sq,Times Sq/Theatre District,1.9,13.8,1,Taxi,325
2019-03-02 16:27:34,2019-03-02 16:41:30,Greenwich Village South,Midtown South,1.7,13.8,2,Taxi,326
2019-03-05 15:01:34,2019-03-05 15:11:01,SoHo,TriBeCa/Civic Center,0.83,12.0,1,Taxi,327
2019-03-24 08:12:47,2019-03-24 08:23:19,Sutton Place/Turtle Bay North,Union Sq,3.17,17.16,1,Taxi,328
2019-03-28 13:18:44,2019-03-28 13:27:20,Lenox Hill East,Upper East Side North,1.34,12.96,3,Taxi,329
2019-03-24 00:27:46,2019-03-24 00:35:12,West Village,Penn Station/Madison Sq West,1.6,13.55,1,Taxi,330
2019-03-12 21:26:25,2019-03-12 21:37:04,Murray Hill,Stuy Town/Peter Cooper Village,2.0,15.95,1,Taxi,331
2019-03-06 14:39:34,2019-03-06 14:46:56,Murray Hill,Garment District,0.5,11.75,1,Taxi,332
2019-03-16 01:14:24,2019-03-16 01:26:45,Crown Heights North,Crown Heights South,2.6,12.3,1,Taxi,333
2019-03-26 01:14:52,2019-03-26 01:20:27,Seaport,DUMBO/Vinegar Hill,2.14,11.8,1,Taxi,334
2019-03-12 02:58:34,2019-03-12 03:04:48,Union Sq,Murray Hill,1.5,12.95,2,Taxi,335
2019-03-26 21:07:17,2019-03-26 21:29:20,Union Sq,East Harlem South,3.97,26.16,1,Taxi,336
2019-03-20 20:52:57,2019-03-20 21:08:21,East Village,Yorkville East,4.08,21.96,1,Taxi,337
2019-03-01 17:51:29,2019-03-01 18:02:41,Penn Station/Madison Sq West,Greenwich Village North,1.75,17.29,1,Taxi,338
2019-03-31 19:48:55,2019-03-31 20:00:50,Greenwich Village North,Meatpacking/West Village West,1.22,11.8,1,Taxi,339
2019-03-11 17:55:58,2019-03-11 18:04:46,Battery Park City,East Chelsea,2.48,17.16,1,Taxi,340
2019-03-24 12:32:26,2019-03-24 12:43:25,Yorkville East,East Harlem North,2.7,17.85,3,Taxi,341
2019-03-12 18:34:33,2019-03-12 18:43:13,Midtown North,Midtown North,0.37,10.8,1,Taxi,342
2019-03-27 20:09:15,2019-03-27 20:13:09,Upper West Side South,Bloomingdale,1.29,9.3,1,Taxi,343
2019-03-06 23:32:10,2019-03-06 23:38:21,Greenwich Village South,TriBeCa/Civic Center,1.25,11.84,2,Taxi,344
2019-03-21 06:12:16,2019-03-21 06:16:45,Penn Station/Madison Sq West,Times Sq/Theatre District,1.2,10.56,5,Taxi,345
2019-03-08 22:03:27,2019-03-08 22:16:13,Lincoln Square West,Washington Heights South,6.35,22.8,1,Taxi,346
2019-03-29 19:24:36,2019-03-29 19:33:39,Upper East Side South,Long Island City/Hunters Point,2.23,17.25,1,Taxi,347
2019-03-24 00:12:23,2019-03-24 00:27:21,LaGuardia Airport,Yorkville East,7.2,37.86,3,Taxi,348
2019-03-24 16:49:27,2019-03-24 16:56:46,Penn Station/Madison Sq West,Union Sq,1.3,10.8,3,Taxi,349
2019-03-18 22:07:21,2019-03-18 22:13:35,Midtown South,Gramercy,1.33,12.36,1,Taxi,350
2019-03-01 11:56:33,2019-03-01 12:24:09,Clinton East,Soundview/Castle Hill,12.05,36.3,1,Taxi,351
2019-03-03 00:53:01,2019-03-03 01:08:24,Lower East Side,West Chelsea/Hudson Yards,2.8,19.55,1,Taxi,352
2019-03-08 17:25:38,2019-03-08 17:32:08,Midtown Center,Sutton Place/Turtle Bay North,0.6,10.3,1,Taxi,353
2019-03-10 03:41:47,2019-03-10 03:47:49,Murray Hill,Sutton Place/Turtle Bay North,1.21,11.3,1,Taxi,354
2019-03-05 12:34:42,2019-03-05 13:23:51,LaGuardia Airport,Lower East Side,13.57,67.58,5,Taxi,355
2019-03-30 09:25:34,2019-03-30 09:28:42,Times Sq/Theatre District,Garment District,0.9,8.3,1,Taxi,356
2019-03-25 18:42:25,2019-03-25 18:54:54,Midtown Center,Union Sq,1.8,15.8,1,Taxi,357
2019-03-23 04:21:32,2019-03-23 04:27:31,Clinton East,Penn Station/Madison Sq West,1.2,11.3,1,Taxi,358
2019-03-03 13:41:18,2019-03-03 13:46:47,Greenwich Village North,Penn Station/Madison Sq West,0.68,10.3,1,Taxi,359
2019-03-19 11:00:45,2019-03-19 11:07:21,Lincoln Square East,Upper West Side North,1.3,12.25,1,Taxi,360
2019-03-30 23:50:23,2019-03-31 00:00:01,Lower East Side,West Village,1.3,12.8,1,Taxi,361
2019-03-23 19:22:48,2019-03-23 19:28:28,Upper West Side North,Morningside Heights,1.4,7.8,2,Taxi,362
2019-03-17 17:25:09,2019-03-17 17:32:05,Midtown Center,Clinton East,0.8,9.3,3,Taxi,363
2019-03-08 22:06:50,2019-03-08 22:22:07,Lenox Hill West,East Village,3.8,22.55,1,Taxi,364
2019-03-08 13:17:30,2019-03-08 13:26:21,Lenox Hill West,Upper East Side North,1.64,13.56,1,Taxi,365
2019-03-23 23:17:57,2019-03-23 23:21:40,Lincoln Square East,Times Sq/Theatre District,0.87,9.68,2,Taxi,366
2019-03-21 08:08:23,2019-03-21 08:16:12,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,0.9,12.1,1,Taxi,367
2019-03-17 15:31:50,2019-03-17 15:50:33,Kips Bay,Brooklyn Heights,5.63,21.8,1,Taxi,368
2019-03-03 22:42:09,2019-03-03 22:47:36,Lincoln Square East,Lincoln Square West,0.33,10.56,1,Taxi,369
2019-03-04 21:46:08,2019-03-04 21:53:15,Sutton Place/Turtle Bay North,Yorkville East,1.9,14.15,1,Taxi,370
2019-03-07 19:16:18,2019-03-07 19:44:37,East Chelsea,TriBeCa/Civic Center,4.4,22.3,1,Taxi,371
2019-03-01 14:11:37,2019-03-01 14:17:25,Greenwich Village North,Penn Station/Madison Sq West,1.04,9.3,1,Taxi,372
2019-03-31 06:51:54,2019-03-31 07:02:42,Clinton East,East Harlem South,3.9,19.8,1,Taxi,373
2019-03-19 12:40:08,2019-03-19 13:03:40,Flatiron,World Trade Center,3.59,21.3,1,Taxi,374
2019-03-28 22:18:16,2019-03-28 22:21:53,Upper East Side North,Yorkville West,0.89,10.56,5,Taxi,375
2019-03-27 21:02:16,2019-03-27 21:07:33,Union Sq,Garment District,1.3,12.35,2,Taxi,376
2019-03-17 06:49:50,2019-03-17 06:59:38,East Village,Penn Station/Madison Sq West,2.4,17.8,1,Taxi,377
2019-03-28 17:52:19,2019-03-28 18:09:37,Midtown North,Penn Station/Madison Sq West,1.8,16.3,1,Taxi,378
2019-03-24 08:53:31,2019-03-24 08:57:29,Chinatown,Greenwich Village South,1.03,10.56,3,Taxi,379
2019-03-09 14:41:28,2019-03-09 14:56:03,Midtown South,Sutton Place/Turtle Bay North,2.04,14.3,1,Taxi,380
2019-03-06 13:16:44,2019-03-06 13:23:56,Upper East Side North,East Harlem South,1.1,13.35,1,Taxi,381
2019-03-16 19:26:25,2019-03-16 19:46:40,Yorkville East,Gramercy,3.66,21.96,1,Taxi,382
2019-03-17 16:09:20,2019-03-17 16:27:25,East Chelsea,Upper East Side South,2.6,16.8,4,Taxi,383
2019-03-08 13:52:36,2019-03-08 13:59:15,Upper East Side South,Upper East Side South,0.68,11.16,1,Taxi,384
2019-03-28 19:48:23,2019-03-28 20:04:37,Times Sq/Theatre District,Union Sq,1.7,18.35,1,Taxi,385
2019-03-01 09:33:42,2019-03-01 09:48:36,Clinton East,Penn Station/Madison Sq West,1.11,15.96,1,Taxi,386
2019-03-18 10:37:34,2019-03-18 10:49:36,Murray Hill,Clinton West,1.3,14.75,1,Taxi,387
2019-03-18 18:47:11,2019-03-18 19:05:14,East Village,Penn Station/Madison Sq West,2.1,20.75,1,Taxi,388
2019-03-19 23:23:12,2019-03-19 23:38:38,Clinton East,Alphabet City,3.37,19.3,1,Taxi,389
2019-03-20 20:38:18,2019-03-20 20:45:26,Midtown Center,Midtown Center,1.1,9.36,0,Taxi,390
2019-03-15 22:38:47,2019-03-15 22:41:19,Clinton East,Lincoln Square West,0.6,8.8,1,Taxi,391
2019-03-02 03:22:04,2019-03-02 03:32:37,Lower East Side,Greenwich Village North,1.47,14.3,1,Taxi,392
2019-03-15 18:51:54,2019-03-15 19:46:20,JFK Airport,Midtown Center,17.28,78.67,2,Taxi,393
2019-03-22 04:46:14,2019-03-22 05:16:28,Upper East Side North,JFK Airport,18.94,73.27,5,Taxi,394
2019-03-12 18:23:06,2019-03-12 18:31:25,Midtown Center,Midtown South,0.53,12.96,1,Taxi,395
2019-03-28 13:20:19,2019-03-28 13:36:52,Times Sq/Theatre District,UN/Turtle Bay South,1.08,14.3,1,Taxi,396
2019-03-23 18:49:13,2019-03-23 19:01:58,East Village,Kips Bay,2.33,16.56,2,Taxi,397
2019-03-23 02:42:30,2019-03-23 02:46:36,Gramercy,Union Sq,0.75,10.56,1,Taxi,398
2019-03-23 22:06:31,2019-03-23 22:12:32,Union Sq,Midtown South,0.6,9.3,1,Taxi,399
