rain_mm,temp_max_c,temp_min_c,observation_type,observation_time,station_name,suburb
0.0,12.8,5.0,drizzle,2012-01-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
10.9,10.6,2.8,rain,2012-01-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.8,11.7,7.2,rain,2012-01-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
20.3,12.2,5.6,rain,2012-01-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.3,8.9,2.8,rain,2012-01-05T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.5,4.4,2.2,rain,2012-01-06T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,7.2,2.8,rain,2012-01-07T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,10.0,2.8,sun,2012-01-08T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.3,9.4,5.0,rain,2012-01-09T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.0,6.1,0.6,rain,2012-01-10T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,6.1,-1.1,sun,2012-01-11T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,6.1,-1.7,sun,2012-01-12T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,5.0,-2.8,sun,2012-01-13T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.1,4.4,0.6,snow,2012-01-14T12:00:00Z,Sydney Observatory Hill,Sydney CBD
5.3,1.1,-3.3,snow,2012-01-15T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.5,1.7,-2.8,snow,2012-01-16T12:00:00Z,Sydney Observatory Hill,Sydney CBD
8.1,3.3,0.0,snow,2012-01-17T12:00:00Z,Sydney Observatory Hill,Sydney CBD
19.8,0.0,-2.8,snow,2012-01-18T12:00:00Z,Sydney Observatory Hill,Sydney CBD
15.2,-1.1,-2.8,snow,2012-01-19T12:00:00Z,Sydney Observatory Hill,Sydney CBD
13.5,7.2,-1.1,snow,2012-01-20T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.0,8.3,3.3,rain,2012-01-21T12:00:00Z,Sydney Observatory Hill,Sydney CBD
6.1,6.7,2.2,rain,2012-01-22T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,8.3,1.1,rain,2012-01-23T12:00:00Z,Sydney Observatory Hill,Sydney CBD
8.6,10.0,2.2,rain,2012-01-24T12:00:00Z,Sydney Observatory Hill,Sydney CBD
8.1,8.9,4.4,rain,2012-01-25T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.8,8.9,1.1,rain,2012-01-26T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,6.7,-2.2,drizzle,2012-01-27T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,6.7,0.6,rain,2012-01-28T12:00:00Z,Sydney Observatory Hill,Sydney CBD
27.7,9.4,3.9,rain,2012-01-29T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.6,8.3,6.1,rain,2012-01-30T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.8,9.4,6.1,rain,2012-01-31T12:00:00Z,Sydney Observatory Hill,Sydney CBD
13.5,8.9,3.3,rain,2012-02-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,8.3,1.7,sun,2012-02-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,14.4,2.2,sun,2012-02-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,15.6,5.0,sun,2012-02-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,13.9,1.7,sun,2012-02-05T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.1,1.7,sun,2012-02-06T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.3,15.6,7.8,rain,2012-02-07T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.8,10.0,5.0,rain,2012-02-08T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.5,11.1,7.8,rain,2012-02-09T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.5,12.8,6.7,rain,2012-02-10T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.8,8.9,5.6,rain,2012-02-11T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.0,8.3,5.0,rain,2012-02-12T12:00:00Z,Sydney Observatory Hill,Sydney CBD
11.4,7.2,4.4,rain,2012-02-13T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.5,6.7,1.1,rain,2012-02-14T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,7.2,0.6,drizzle,2012-02-15T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.8,7.2,3.3,rain,2012-02-16T12:00:00Z,Sydney Observatory Hill,Sydney CBD
17.3,10.0,4.4,rain,2012-02-17T12:00:00Z,Sydney Observatory Hill,Sydney CBD
6.4,6.7,3.9,rain,2012-02-18T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,6.7,2.2,sun,2012-02-19T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.0,7.8,1.7,rain,2012-02-20T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.8,10.0,7.8,rain,2012-02-21T12:00:00Z,Sydney Observatory Hill,Sydney CBD
8.6,10.0,2.8,rain,2012-02-22T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,8.3,2.8,sun,2012-02-23T12:00:00Z,Sydney Observatory Hill,Sydney CBD
11.4,6.7,4.4,rain,2012-02-24T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,7.2,2.8,rain,2012-02-25T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.3,5.0,-1.1,snow,2012-02-26T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,6.7,-2.2,sun,2012-02-27T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.6,6.7,-0.6,snow,2012-02-28T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.8,5.0,1.1,snow,2012-02-29T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,6.1,1.1,sun,2012-03-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.0,6.7,3.9,rain,2012-03-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,12.2,6.7,sun,2012-03-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,10.6,6.7,rain,2012-03-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
6.9,7.8,1.1,rain,2012-03-05T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.5,6.7,0.0,snow,2012-03-06T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,8.9,-1.7,sun,2012-03-07T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,15.6,0.6,sun,2012-03-08T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.6,9.4,5.0,rain,2012-03-09T12:00:00Z,Sydney Observatory Hill,Sydney CBD
10.4,7.2,6.1,rain,2012-03-10T12:00:00Z,Sydney Observatory Hill,Sydney CBD
13.7,6.7,2.8,rain,2012-03-11T12:00:00Z,Sydney Observatory Hill,Sydney CBD
19.3,8.3,0.6,snow,2012-03-12T12:00:00Z,Sydney Observatory Hill,Sydney CBD
9.4,5.6,0.6,snow,2012-03-13T12:00:00Z,Sydney Observatory Hill,Sydney CBD
8.6,7.8,1.1,rain,2012-03-14T12:00:00Z,Sydney Observatory Hill,Sydney CBD
23.9,11.1,5.6,snow,2012-03-15T12:00:00Z,Sydney Observatory Hill,Sydney CBD
8.4,8.9,3.9,rain,2012-03-16T12:00:00Z,Sydney Observatory Hill,Sydney CBD
9.4,10.0,0.6,snow,2012-03-17T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.6,5.0,-0.6,rain,2012-03-18T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.0,7.2,-1.1,rain,2012-03-19T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.6,7.8,2.2,rain,2012-03-20T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.3,8.9,1.1,rain,2012-03-21T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.1,10.0,1.7,rain,2012-03-22T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,12.2,0.6,sun,2012-03-23T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,15.0,3.3,sun,2012-03-24T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,13.3,2.2,rain,2012-03-25T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,12.8,6.1,drizzle,2012-03-26T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.8,14.4,6.7,rain,2012-03-27T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.3,10.6,7.2,rain,2012-03-28T12:00:00Z,Sydney Observatory Hill,Sydney CBD
27.4,10.0,6.1,rain,2012-03-29T12:00:00Z,Sydney Observatory Hill,Sydney CBD
5.6,9.4,5.0,rain,2012-03-30T12:00:00Z,Sydney Observatory Hill,Sydney CBD
13.2,10.0,2.8,rain,2012-03-31T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.5,8.9,4.4,rain,2012-04-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.7,4.4,sun,2012-04-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.5,11.7,3.3,rain,2012-04-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,10.6,2.8,sun,2012-04-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.6,9.4,2.8,snow,2012-04-05T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.3,11.1,3.3,rain,2012-04-06T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.1,1.7,sun,2012-04-07T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.1,7.2,sun,2012-04-08T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,20.0,6.1,sun,2012-04-09T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,17.8,8.9,rain,2012-04-10T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.3,11.1,7.2,rain,2012-04-11T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.5,13.9,5.6,rain,2012-04-12T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,15.0,3.9,drizzle,2012-04-13T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,15.6,3.3,sun,2012-04-14T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.1,7.2,rain,2012-04-15T12:00:00Z,Sydney Observatory Hill,Sydney CBD
8.1,13.3,6.7,rain,2012-04-16T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.8,10.0,4.4,rain,2012-04-17T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.8,13.3,7.2,rain,2012-04-18T12:00:00Z,Sydney Observatory Hill,Sydney CBD
10.9,13.9,5.0,rain,2012-04-19T12:00:00Z,Sydney Observatory Hill,Sydney CBD
6.6,13.3,6.7,rain,2012-04-20T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,20.0,4.4,sun,2012-04-21T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.3,8.3,rain,2012-04-22T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.7,8.9,sun,2012-04-23T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.3,13.9,10.0,rain,2012-04-24T12:00:00Z,Sydney Observatory Hill,Sydney CBD
10.7,16.7,8.9,rain,2012-04-25T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.8,13.9,6.7,rain,2012-04-26T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.8,13.3,6.1,rain,2012-04-27T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.1,8.3,drizzle,2012-04-28T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.3,15.6,8.9,rain,2012-04-29T12:00:00Z,Sydney Observatory Hill,Sydney CBD
4.3,12.8,7.2,rain,2012-04-30T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.5,11.7,6.1,rain,2012-05-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.5,13.3,5.6,rain,2012-05-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
18.5,11.1,7.2,rain,2012-05-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.8,12.2,6.1,rain,2012-05-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,13.3,5.0,sun,2012-05-05T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,17.8,5.0,sun,2012-05-06T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.9,6.1,sun,2012-05-07T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,18.3,9.4,sun,2012-05-08T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,13.3,6.7,rain,2012-05-09T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,14.4,3.9,sun,2012-05-10T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,18.3,4.4,sun,2012-05-11T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,24.4,6.7,sun,2012-05-12T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,25.6,9.4,sun,2012-05-13T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,26.7,12.8,sun,2012-05-14T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,24.4,9.4,drizzle,2012-05-15T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,19.4,9.4,sun,2012-05-16T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,17.8,6.7,rain,2012-05-17T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,15.6,7.8,rain,2012-05-18T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,19.4,7.2,sun,2012-05-19T12:00:00Z,Sydney Observatory Hill,Sydney CBD
6.4,14.4,11.7,rain,2012-05-20T12:00:00Z,Sydney Observatory Hill,Sydney CBD
14.0,16.7,10.0,rain,2012-05-21T12:00:00Z,Sydney Observatory Hill,Sydney CBD
6.1,12.8,8.9,rain,2012-05-22T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.3,14.4,8.9,rain,2012-05-23T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,17.2,8.9,rain,2012-05-24T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,8.9,rain,2012-05-25T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,8.9,sun,2012-05-26T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,17.2,11.7,sun,2012-05-27T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.7,10.0,rain,2012-05-28T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.1,7.8,sun,2012-05-29T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.3,18.9,11.1,rain,2012-05-30T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.8,17.8,12.2,rain,2012-05-31T12:00:00Z,Sydney Observatory Hill,Sydney CBD
6.6,20.0,12.8,rain,2012-06-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.3,18.9,10.6,rain,2012-06-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,17.2,9.4,sun,2012-06-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.3,12.8,8.9,rain,2012-06-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
16.0,13.3,8.3,rain,2012-06-05T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.1,6.1,sun,2012-06-06T12:00:00Z,Sydney Observatory Hill,Sydney CBD
16.5,16.1,8.9,rain,2012-06-07T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.5,15.0,8.3,rain,2012-06-08T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,17.2,8.3,rain,2012-06-09T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,18.9,10.0,sun,2012-06-10T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.3,10.0,rain,2012-06-11T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.8,18.3,12.8,rain,2012-06-12T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,16.1,11.1,sun,2012-06-13T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,17.2,10.0,sun,2012-06-14T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,9.4,sun,2012-06-15T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.1,15.0,rain,2012-06-16T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,18.9,11.7,sun,2012-06-17T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.0,17.2,10.0,rain,2012-06-18T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.0,19.4,10.0,rain,2012-06-19T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,24.4,10.0,sun,2012-06-20T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.9,11.7,sun,2012-06-21T12:00:00Z,Sydney Observatory Hill,Sydney CBD
15.7,13.9,11.7,rain,2012-06-22T12:00:00Z,Sydney Observatory Hill,Sydney CBD
8.6,15.6,9.4,rain,2012-06-23T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,19.4,9.4,drizzle,2012-06-24T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.5,19.4,11.1,rain,2012-06-25T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,18.3,10.6,rain,2012-06-26T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.8,8.9,sun,2012-06-27T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,11.7,rain,2012-06-28T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.3,21.7,15.0,rain,2012-06-29T12:00:00Z,Sydney Observatory Hill,Sydney CBD
3.0,20.0,13.3,rain,2012-06-30T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,20.0,12.2,rain,2012-07-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
2.0,18.9,11.7,rain,2012-07-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
5.8,18.3,10.6,rain,2012-07-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,20.6,9.4,sun,2012-07-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,24.4,10.6,drizzle,2012-07-05T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,25.0,11.1,sun,2012-07-06T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,26.7,12.8,sun,2012-07-07T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,28.3,14.4,rain,2012-07-08T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.5,25.0,12.8,rain,2012-07-09T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.9,11.1,drizzle,2012-07-10T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,27.8,13.3,fog,2012-07-11T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,25.6,13.3,drizzle,2012-07-12T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.5,23.3,13.9,rain,2012-07-13T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,25.0,15.0,rain,2012-07-14T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,18.9,13.3,rain,2012-07-15T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.3,26.1,13.3,rain,2012-07-16T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.7,15.0,sun,2012-07-17T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.1,14.4,sun,2012-07-18T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,25.0,14.4,sun,2012-07-19T12:00:00Z,Sydney Observatory Hill,Sydney CBD
15.2,19.4,13.9,rain,2012-07-20T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.9,13.9,sun,2012-07-21T12:00:00Z,Sydney Observatory Hill,Sydney CBD
1.0,20.6,12.2,rain,2012-07-22T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,18.9,11.1,rain,2012-07-23T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.3,12.2,sun,2012-07-24T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,26.7,12.8,sun,2012-07-25T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,25.6,12.8,drizzle,2012-07-26T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,18.9,13.9,drizzle,2012-07-27T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,13.3,drizzle,2012-07-28T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.8,15.0,sun,2012-07-29T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,19.4,13.3,sun,2012-07-30T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.8,13.9,sun,2012-07-31T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.9,13.3,drizzle,2012-08-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.3,12.2,sun,2012-08-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,27.2,12.8,sun,2012-08-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,33.9,16.7,sun,2012-08-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,33.9,17.8,sun,2012-08-05T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,28.3,15.6,rain,2012-08-06T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.1,15.0,drizzle,2012-08-07T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,15.0,sun,2012-08-08T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,24.4,14.4,drizzle,2012-08-09T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,25.6,12.2,sun,2012-08-10T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,28.3,13.3,sun,2012-08-11T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,30.6,15.0,sun,2012-08-12T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,30.6,15.0,sun,2012-08-13T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,28.9,13.9,sun,2012-08-14T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,31.1,16.7,sun,2012-08-15T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,34.4,18.3,sun,2012-08-16T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,32.8,16.1,sun,2012-08-17T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.7,14.4,drizzle,2012-08-18T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.3,15.0,drizzle,2012-08-19T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,25.6,15.0,sun,2012-08-20T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.3,13.3,rain,2012-08-21T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,13.3,sun,2012-08-22T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.1,13.9,sun,2012-08-23T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,10.0,sun,2012-08-24T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,26.1,11.7,sun,2012-08-25T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.1,12.2,sun,2012-08-26T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,23.9,13.3,sun,2012-08-27T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.8,12.2,sun,2012-08-28T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.8,13.3,sun,2012-08-29T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.8,12.8,sun,2012-08-30T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.2,10.6,sun,2012-08-31T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.7,10.6,sun,2012-09-01T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,21.1,10.0,sun,2012-09-02T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,22.8,12.8,sun,2012-09-03T12:00:00Z,Sydney Observatory Hill,Sydney CBD
0.0,24.4,11.1,sun,2012-09-04T12:00:00Z,Sydney Observatory Hill,Sydney CBD
